Halide1,Halide2,Halide3,Cl,Br,I,Cation,Formula,SOLVENT,Target,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,CATION_HATOMS,SOLV_DENSITY,SOLV_DIELECTRIC,SOLV_GDN,SOLV_DPM,SOLV_MV,SOLV_UMBO,DMSO,THTO,DMF,NMP,ACETONE,METHA,GBL,NITRO
Br,Cl,Cl,0.666666667,0.333333333,0,FA,BrClClFA,THTO,41.31,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.34E-02,-1.11E-01,-9.93E-01,-5.13E-02,-6.77E-01,-9.80E-01,6.36E-02,6.73E-01,-9.54E-01,-2.10E-01,-8.96E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,Cs,BrBrClCs,DMSO,41.2,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,2.31E-01,-5.56E-01,-7.75E-01,-2.20E-02,-7.33E-01,9.90E-01,-9.50E-03,8.46E-01,4.25E-01,8.07E-01,-8.87E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,MA,ClClClMA,THTO,41.03,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.30E-02,4.54E-01,7.97E-01,-3.85E-02,-7.37E-01,-9.63E-01,8.12E-03,1.12E-02,-2.19E-01,9.63E-01,-9.30E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,Cs,ClClClCs,THTO,40.97,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,1.29E-01,4.62E-01,-7.68E-01,4.60E-03,-7.50E-01,9.90E-01,-1.74E-02,8.46E-01,-1.49E-01,9.70E-01,-9.73E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,Cs,IClClCs,THTO,40.66,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,2.27E-01,4.47E-01,-7.67E-01,-1.85E-02,-7.44E-01,9.90E-01,-1.68E-02,8.44E-01,6.55E-01,8.44E-01,-9.45E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,MA,ClClClMA,DMSO,40.59,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.30E-02,4.54E-01,7.97E-01,-3.85E-02,-7.37E-01,-9.63E-01,8.12E-03,1.12E-02,-2.19E-01,9.63E-01,-9.30E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,FA,ClClClFA,THTO,40.36,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.10E-02,4.23E-01,-9.93E-01,-3.80E-02,-6.87E-01,-9.79E-01,5.97E-02,6.73E-01,-9.75E-01,2.64E-01,-9.49E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,Cs,ClClClCs,DMSO,40.27,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,1.29E-01,4.62E-01,-7.68E-01,4.60E-03,-7.50E-01,9.90E-01,-1.74E-02,8.46E-01,-1.49E-01,9.70E-01,-9.73E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,Cs,BrClClCs,DMSO,39.86,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,1.81E-01,-6.38E-02,-7.72E-01,-8.72E-03,-7.42E-01,9.90E-01,-1.35E-02,8.46E-01,1.51E-01,9.22E-01,-9.45E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,MA,BrClClMA,DMSO,39.52,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.54E-02,-7.30E-02,7.94E-01,-5.18E-02,-7.28E-01,-9.64E-01,1.21E-02,1.11E-02,7.96E-02,9.04E-01,-8.59E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,Cs,IIClCs,THTO,39.25,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,3.20E-01,4.32E-01,-7.65E-01,-4.16E-02,-7.38E-01,9.91E-01,-1.63E-02,8.42E-01,9.38E-01,3.65E-01,-8.89E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,Cs,IClClCs,DMSO,39.24,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,2.27E-01,4.47E-01,-7.67E-01,-1.85E-02,-7.44E-01,9.90E-01,-1.68E-02,8.44E-01,6.55E-01,8.44E-01,-9.45E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,FA,IClClFA,THTO,38.38,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.21E-01,4.08E-01,-9.92E-01,-6.11E-02,-6.80E-01,-9.79E-01,6.03E-02,6.70E-01,-8.47E-01,-5.23E-01,-8.97E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,Cs,IIClCs,DMSO,38.32,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,3.20E-01,4.32E-01,-7.65E-01,-4.16E-02,-7.38E-01,9.91E-01,-1.63E-02,8.42E-01,9.38E-01,3.65E-01,-8.89E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,Cs,IIBrCs,THTO,38.29,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,3.66E-01,-1.00E-01,-7.68E-01,-5.49E-02,-7.29E-01,9.90E-01,-1.23E-02,8.42E-01,9.65E-01,-1.00E-01,-7.79E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,Cs,IBrClCs,DMSO,38.2,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,2.76E-01,-8.21E-02,-7.70E-01,-3.18E-02,-7.36E-01,9.90E-01,-1.29E-02,8.44E-01,7.95E-01,6.35E-01,-8.88E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,FA,ClClClFA,DMSO,38.1,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.10E-02,4.23E-01,-9.93E-01,-3.80E-02,-6.87E-01,-9.79E-01,5.97E-02,6.73E-01,-9.75E-01,2.64E-01,-9.49E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,Cs,BrClClCs,THTO,37.88,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,1.81E-01,-6.38E-02,-7.72E-01,-8.72E-03,-7.42E-01,9.90E-01,-1.35E-02,8.46E-01,1.51E-01,9.22E-01,-9.45E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,MA,IBrClMA,THTO,37.85,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.74E-01,-9.13E-02,7.96E-01,-7.48E-02,-7.22E-01,-9.64E-01,1.26E-02,4.97E-03,7.67E-01,5.69E-01,-7.26E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,FA,IClClFA,DMSO,37.83,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.21E-01,4.08E-01,-9.92E-01,-6.11E-02,-6.80E-01,-9.79E-01,6.03E-02,6.70E-01,-8.47E-01,-5.23E-01,-8.97E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,MA,IClClMA,THTO,37.79,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.23E-01,4.39E-01,7.99E-01,-6.15E-02,-7.30E-01,-9.63E-01,8.68E-03,5.10E-03,6.12E-01,8.11E-01,-8.60E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Br,0,1,0,Cs,BrBrBrCs,DMSO,37.77,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,2.80E-01,-8.31E-01,-7.79E-01,-3.54E-02,-7.25E-01,9.89E-01,-5.55E-03,8.46E-01,6.39E-01,5.61E-01,-7.76E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,Cs,IIBrCs,DMSO,37.68,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,3.66E-01,-1.00E-01,-7.68E-01,-5.49E-02,-7.29E-01,9.90E-01,-1.23E-02,8.42E-01,9.65E-01,-1.00E-01,-7.79E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,I,0,0,1,Cs,IIICs,THTO,37.61,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,4.07E-01,4.17E-01,-7.63E-01,-6.46E-02,-7.31E-01,9.91E-01,-1.57E-02,8.40E-01,9.90E-01,-4.36E-01,-7.81E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,Cs,BrBrClCs,THTO,37.58,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,2.31E-01,-5.56E-01,-7.75E-01,-2.20E-02,-7.33E-01,9.90E-01,-9.50E-03,8.46E-01,4.25E-01,8.07E-01,-8.87E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,MA,IBrClMA,DMSO,37.49,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.74E-01,-9.13E-02,7.96E-01,-7.48E-02,-7.22E-01,-9.64E-01,1.26E-02,4.97E-03,7.67E-01,5.69E-01,-7.26E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,I,0,0,1,FA,IIIFA,DMSO,37.49,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.12E-01,3.77E-01,-9.92E-01,-1.07E-01,-6.65E-01,-9.79E-01,6.14E-02,6.63E-01,5.54E-01,-9.79E-01,-6.18E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,FA,IIBrFA,THTO,37.34,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,2.68E-01,-1.47E-01,-9.93E-01,-9.73E-02,-6.62E-01,-9.80E-01,6.48E-02,6.66E-01,-8.34E-03,-9.57E-01,-6.15E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,MA,IIBrMA,DMSO,37.2,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,2.70E-01,-1.10E-01,7.97E-01,-9.77E-02,-7.15E-01,-9.64E-01,1.32E-02,-1.18E-03,9.60E-01,-2.02E-01,-5.02E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,MA,BrClClMA,THTO,37.15,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.54E-02,-7.30E-02,7.94E-01,-5.18E-02,-7.28E-01,-9.64E-01,1.21E-02,1.11E-02,7.96E-02,9.04E-01,-8.59E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,MA,IClClMA,DMSO,37.14,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.23E-01,4.39E-01,7.99E-01,-6.15E-02,-7.30E-01,-9.63E-01,8.68E-03,5.10E-03,6.12E-01,8.11E-01,-8.60E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,I,0,0,1,Cs,IIICs,DMSO,37.08,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,4.07E-01,4.17E-01,-7.63E-01,-6.46E-02,-7.31E-01,9.91E-01,-1.57E-02,8.40E-01,9.90E-01,-4.36E-01,-7.81E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,Cs,IBrClCs,THTO,37,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,2.76E-01,-8.21E-02,-7.70E-01,-3.18E-02,-7.36E-01,9.90E-01,-1.29E-02,8.44E-01,7.95E-01,6.35E-01,-8.88E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,FA,IIClFA,DMSO,36.95,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.19E-01,3.92E-01,-9.92E-01,-8.41E-02,-6.72E-01,-9.79E-01,6.08E-02,6.66E-01,-3.01E-01,-8.92E-01,-7.97E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Br,Br,0,1,0,Cs,BrBrBrCs,THTO,36.87,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,2.80E-01,-8.31E-01,-7.79E-01,-3.54E-02,-7.25E-01,9.89E-01,-5.55E-03,8.46E-01,6.39E-01,5.61E-01,-7.76E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,Cs,IBrBrCs,DMSO,36.83,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,3.24E-01,-5.69E-01,-7.73E-01,-4.51E-02,-7.27E-01,9.90E-01,-8.94E-03,8.44E-01,8.83E-01,2.60E-01,-7.78E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,FA,BrBrClFA,DMSO,36.74,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.25E-01,-5.88E-01,-9.93E-01,-6.46E-02,-6.67E-01,-9.81E-01,6.76E-02,6.73E-01,-9.18E-01,-6.02E-01,-7.94E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,FA,BrClClFA,DMSO,36.73,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.34E-02,-1.11E-01,-9.93E-01,-5.13E-02,-6.77E-01,-9.80E-01,6.36E-02,6.73E-01,-9.54E-01,-2.10E-01,-8.96E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,MA,IIBrMA,THTO,36.45,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,2.70E-01,-1.10E-01,7.97E-01,-9.77E-02,-7.15E-01,-9.64E-01,1.32E-02,-1.18E-03,9.60E-01,-2.02E-01,-5.02E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,MA,BrBrClMA,DMSO,36.41,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.27E-01,-5.62E-01,7.91E-01,-6.50E-02,-7.19E-01,-9.65E-01,1.60E-02,1.10E-02,3.64E-01,7.67E-01,-7.24E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,Cs,IBrBrCs,THTO,36.41,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,3.24E-01,-5.69E-01,-7.73E-01,-4.51E-02,-7.27E-01,9.90E-01,-8.94E-03,8.44E-01,8.83E-01,2.60E-01,-7.78E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,MA,IIClMA,DMSO,36.37,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.21E-01,4.24E-01,8.00E-01,-8.45E-02,-7.24E-01,-9.63E-01,9.24E-03,-1.05E-03,9.28E-01,2.71E-01,-7.28E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,MA,BrBrClMA,THTO,36.32,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.27E-01,-5.62E-01,7.91E-01,-6.50E-02,-7.19E-01,-9.65E-01,1.60E-02,1.10E-02,3.64E-01,7.67E-01,-7.24E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,FA,IBrClFA,THTO,36.1,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.72E-01,-1.29E-01,-9.93E-01,-7.44E-02,-6.70E-01,-9.80E-01,6.42E-02,6.70E-01,-7.36E-01,-7.87E-01,-7.95E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Br,0,1,0,MA,BrBrBrMA,DMSO,36.03,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.79E-01,-8.33E-01,7.88E-01,-7.83E-02,-7.10E-01,-9.67E-01,2.00E-02,1.09E-02,5.94E-01,4.85E-01,-4.96E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,MA,IIClMA,THTO,36,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.21E-01,4.24E-01,8.00E-01,-8.45E-02,-7.24E-01,-9.63E-01,9.24E-03,-1.05E-03,9.28E-01,2.71E-01,-7.28E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,I,0,0,1,MA,IIIMA,THTO,35.99,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.14E-01,4.09E-01,8.02E-01,-1.07E-01,-7.17E-01,-9.63E-01,9.81E-03,-7.20E-03,9.89E-01,-5.17E-01,-5.04E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Br,0,1,0,MA,BrBrBrMA,THTO,35.97,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.79E-01,-8.33E-01,7.88E-01,-7.83E-02,-7.10E-01,-9.67E-01,2.00E-02,1.09E-02,5.94E-01,4.85E-01,-4.96E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,MA,IBrBrMA,DMSO,35.64,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.25E-01,-5.75E-01,7.93E-01,-8.80E-02,-7.13E-01,-9.65E-01,1.66E-02,4.84E-03,8.66E-01,1.61E-01,-4.99E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,FA,BrBrClFA,THTO,35.6,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.25E-01,-5.88E-01,-9.93E-01,-6.46E-02,-6.67E-01,-9.81E-01,6.76E-02,6.73E-01,-9.18E-01,-6.02E-01,-7.94E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,MA,IBrBrMA,THTO,35.3,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.25E-01,-5.75E-01,7.93E-01,-8.80E-02,-7.13E-01,-9.65E-01,1.66E-02,4.84E-03,8.66E-01,1.61E-01,-4.99E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,I,0,0,1,MA,IIIMA,DMSO,34.31,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.14E-01,4.09E-01,8.02E-01,-1.07E-01,-7.17E-01,-9.63E-01,9.81E-03,-7.20E-03,9.89E-01,-5.17E-01,-5.04E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,FA,IIClFA,THTO,34.29,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.19E-01,3.92E-01,-9.92E-01,-8.41E-02,-6.72E-01,-9.79E-01,6.08E-02,6.66E-01,-3.01E-01,-8.92E-01,-7.97E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Br,0,1,0,FA,BrBrBrFA,THTO,33.83,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.77E-01,-8.45E-01,-9.93E-01,-7.79E-02,-6.57E-01,-9.81E-01,7.15E-02,6.73E-01,-8.55E-01,-8.27E-01,-6.11E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,FA,IBrClFA,DMSO,33.76,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.72E-01,-1.29E-01,-9.93E-01,-7.44E-02,-6.70E-01,-9.80E-01,6.42E-02,6.70E-01,-7.36E-01,-7.87E-01,-7.95E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,FA,IBrBrFA,DMSO,33.72,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.23E-01,-6.00E-01,-9.93E-01,-8.76E-02,-6.59E-01,-9.81E-01,6.81E-02,6.70E-01,-5.65E-01,-9.13E-01,-6.13E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,FA,IIBrFA,DMSO,32.75,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,2.68E-01,-1.47E-01,-9.93E-01,-9.73E-02,-6.62E-01,-9.80E-01,6.48E-02,6.66E-01,-8.34E-03,-9.57E-01,-6.15E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,I,0,0,1,FA,IIIFA,THTO,32.19,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.12E-01,3.77E-01,-9.92E-01,-1.07E-01,-6.65E-01,-9.79E-01,6.14E-02,6.63E-01,5.54E-01,-9.79E-01,-6.18E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Br,0,1,0,FA,BrBrBrFA,DMSO,31.76,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.77E-01,-8.45E-01,-9.93E-01,-7.79E-02,-6.57E-01,-9.81E-01,7.15E-02,6.73E-01,-8.55E-01,-8.27E-01,-6.11E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,FA,IBrBrFA,THTO,29.99,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.23E-01,-6.00E-01,-9.93E-01,-8.76E-02,-6.59E-01,-9.81E-01,6.81E-02,6.70E-01,-5.65E-01,-9.13E-01,-6.13E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,FA,ClClClFA,DMF,22.95,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.10E-02,4.23E-01,-9.93E-01,-3.80E-02,-6.87E-01,-9.79E-01,5.97E-02,6.73E-01,-9.75E-01,2.64E-01,-9.49E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
